ID,ADDITIONAL_DESCRIPTION,GA_ATTRIBUTES
5861877,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861886,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861890,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861893,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861898,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861907,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861911,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861914,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861919,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861928,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860450,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861932,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861935,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861940,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861949,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861953,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861956,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861961,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861970,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861974,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861977,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860456,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861982,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861991,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861995,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861998,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862003,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862012,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862016,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862019,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862024,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862033,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860466,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862037,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862040,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862045,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862054,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862058,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862061,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862066,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862075,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862079,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862082,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5839241,"<p>Precision optics deliver uniform, optimal light distribution</p><p>Perfect for parking lots and pathways</p><p>100,000-Hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860471,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5862087,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860475,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860481,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860491,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860496,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860500,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860506,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860516,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860521,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860525,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5839250,"<p>Precision optics deliver uniform, optimal light distribution</p><p>Perfect for parking lots and pathways</p><p>100,000-Hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860531,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860541,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860546,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860550,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5839223,"<p>Precision optics deliver uniform, optimal light distribution</p><p>Perfect for parking lots and pathways</p><p>100,000-Hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5839308,"<p>Precision optics deliver uniform, optimal light distribution</p><p>Perfect for parking lots and pathways</p><p>100,000-Hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860906,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860916,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860921,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860925,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860931,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860941,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860946,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860950,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860956,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860966,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5839318,"<p>Precision optics deliver uniform, optimal light distribution</p><p>Perfect for parking lots and pathways</p><p>100,000-Hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860971,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860976,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860981,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860991,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860996,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861000,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861006,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861016,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861021,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861025,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5839358,"<p>IES type V (circular) distribution</p><p>100,000-hour LED lifespan</p><p>Compatible with standard 2 3/8"" and 3"" tenons</p><p>""Air-Flow"" fins for maximum heat dissipation</p><p>5-Year, No-Compromise Warranty</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861031,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861041,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861046,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861050,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861056,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861066,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861071,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861075,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861081,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861091,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860366,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861096,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861100,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861106,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861116,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861121,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861125,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861131,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861141,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861146,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861150,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860371,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861156,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861166,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861171,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861175,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861181,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861191,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861196,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861200,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861206,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861216,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860375,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861221,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861225,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861231,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861241,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861246,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861250,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861256,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861266,"<p>100,000-hour LED lifespan</p><p>Type IV distribution</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
